Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,1,1.58451624705049,1,0.582631997109274,1,NaN,0.708805844248938,0.621761556192935,0.364876952229159,0.662285374065353
2,0,0.7,1,0.914411221703631,1,0.579347992774274,1,NaN,0.703701569314073,0.62157290820878,0.410867071930318,0.632671413025658
3,0,0.7,1,0.535762713712757,1,0.472036909806775,1,NaN,0.689077842490868,0.629163517256506,0.42471855240823,0.628199512368948
4,0,0.7,1,0.696417208317143,1,0.642533455851662,1,NaN,0.698684102470761,0.654702185577258,0.424623808639862,0.585953515189699
5,0,0.3,1,0.572393293252389,1,1.6432265410549,1,NaN,0.663801751218742,0.66368668807097,0.453146098031141,0.587666986339247
6,0,0.7,1,0.524906994964113,1,0.589746383942838,1,NaN,0.615767961017912,0.657277023323867,0.458528388124887,0.582757862844785
7,0,0.7,1,0.689625818515196,1,1.0916336525479,1,NaN,0.631104271455259,0.658074200744779,0.438019029910111,0.574402228552157
8,0,0.3,1,0.65944672722253,1,1.2548615580381,1,NaN,0.669809594652512,0.654091759834882,0.436129452984528,0.539289565916719
9,0,0.7,1,0.712083167811215,1,1.32950647261896,1,NaN,0.64527683368277,0.712235145088694,0.447668536108769,0.534855336620433
10,0,0.7,1,0.863943087322696,1,0.691483202346717,0,NaN,0.632739047901574,0.739128207012709,0.450808866934299,0.507061744346891
11,1,0.7,1,2.45917257218389,0,1.38258997731464,1,1,0.582451414488293,0.731266555380495,0.381987827357372,0.512699109273542
12,0,0.7,1,0.883088962436887,1,0.676555306148657,1,NaN,0.61475547806565,0.742161527728272,0.410523471658129,0.579334240084941
13,1,0.7,1,0.813049321346625,1,0.354852079435659,1,0.5,0.624571555845554,0.707436655392309,0.448230666233915,0.587586145650275
14,0,0.7,1,0.575617528054863,1,1.11841704892868,0,NaN,0.638560937424476,0.661776768089581,0.410273221570603,0.566767763836718
15,0,0.3,1,0.628978749817179,0,1.54583599478792,1,NaN,0.674073517052268,0.694790181513058,0.392370543659934,0.56975720811832
16,0,0.7,1,1.45549734900851,1,0.898916420446767,0,NaN,0.662803198300395,0.661732171224869,0.414029434095305,0.608831926853878
17,0,0.7,1,0.689983832038706,0,0.956248392561974,0,NaN,0.668046282040377,0.645214640980657,0.350497516411459,0.588058224033207
18,0,0.3,1,0.481211836544389,1,1.47512771966285,0,NaN,0.67090028602343,0.656461561793796,0.38131871127718,0.591190617127606
19,0,0.7,1,0.499910647551587,1,0.469218987149361,0,NaN,0.667684902203464,0.656571250216613,0.407730905598937,0.581584651095919
20,1,0.7,0,1.59780319761194,0,1.59512866148725,1,0,0.669769568463688,0.662970259283388,0.413237237482242,0.582944906746485
21,0,0.7,1,1.49479914415133,1,1.2970063307439,0,NaN,0.672215466324992,0.648866295440121,0.419979074348865,0.587621409228446
22,0,0.3,1,0.441012894523737,1,1.77321503390704,1,NaN,0.704934620799609,0.640911813099914,0.430919820111808,0.601391054521489
23,1,0.7,0,1.26624161867949,0,0.756360324616253,1,0,0.694475602429852,0.614472300278234,0.42353943088443,0.5553634488682
24,0,0.7,1,0.721499285784375,1,0.930257395426452,1,NaN,0.69621897499182,0.569080396657116,0.424686980688307,0.575440066063242
25,1,0.7,1,1.66471671047475,0,1.10761144001299,1,0.5,0.676618654418599,0.590282854006375,0.412364011689475,0.556045595358921
26,0,0.7,1,1.29854826421069,1,1.13205114582524,0,NaN,0.666404631910168,0.614184506525054,0.397591610956745,0.559436755446012
27,0,0.3,1,0.545787696173647,1,1.95400401602819,1,NaN,0.67110137932758,0.61574975690535,0.418891626938181,0.560689239362308
28,0,0.7,1,0.631134981362266,1,0.859314871988317,1,NaN,0.647031362298314,0.592450227439379,0.427041039822586,0.584932973062994
29,1,0.7,0,1.67641282521799,0,2.16698674565123,1,0,0.680700824574967,0.615423582828052,0.427988437760835,0.602617268145071
30,0,0.3,1,1.68371044493688,1,1.61355730208743,1,NaN,0.699258143190848,0.664270492968389,0.443173909302438,0.621223679310094
31,0,0.7,1,0.624757450364996,1,0.821605422002904,0,NaN,0.681748412957567,0.69714810550234,0.423886578745986,0.616254860655076
32,0,0.3,1,0.520223538092978,1,1.47283896878071,0,NaN,0.694893424550785,0.687455372124049,0.439415872674924,0.634197506892407
33,0,0.7,1,0.52137244152982,1,0.65002577938867,1,NaN,0.719457249345997,0.693157660847837,0.406862030076627,0.652265142116335
34,0,0.3,1,0.683207535548718,0,1.30941877439909,1,NaN,0.733483860261909,0.710018149410571,0.395695779419043,0.691765495248243
35,0,0.7,1,0.852612834634783,1,1.20818214859173,0,NaN,0.710760370017282,0.700592594669694,0.392330987383493,0.658129497561422
36,0,0.3,0,0.491186709179601,0,0.429275424095977,0,NaN,0.671480734283964,0.690398416027375,0.386002964258811,0.655410178383657
37,1,0.7,0,1.919809800027,0,1.18458464997093,1,0,0.651664853990427,0.71509725201781,0.388105824317959,0.649649655669691
38,0,0.3,0,1.06020211765281,1,0.959829433420964,1,NaN,0.620818737268762,0.707859561048364,0.374719494367403,0.691265627043044
39,0,0.7,0,0.660809050197713,0,1.24023250956088,0,NaN,0.623773148799308,0.693851470553225,0.357569539742428,0.661030810738532
40,0,0.3,1,0.43424082416459,1,1.47027099148545,1,NaN,0.585427147523308,0.680907792985279,0.350919899104753,0.709026627367161
41,0,0.7,1,0.526867617103562,1,0.519513548366376,1,NaN,0.580608553232112,0.648405751100715,0.347622878360427,0.705917153552798
42,0,0.3,1,0.606000077277713,1,1.46744340910664,1,NaN,0.5597980463164,0.627762603327122,0.361815307242434,0.691712551499672
43,0,0.7,1,0.531937764812028,1,0.996219123597257,0,NaN,0.563687326414161,0.620495665921971,0.375763648331183,0.700585131859748
44,0,0.7,1,0.567779265649733,0,1.23076507430233,1,NaN,0.583834475257266,0.62926096105682,0.379268361769618,0.729252578083617
45,0,0.3,1,0.425236451934325,0,1.43802864349709,1,NaN,0.612803363227307,0.636829794000157,0.326785341001578,0.734419030290378
46,0,0.7,1,0.680173174703668,1,1.61840678547014,1,NaN,0.62175136854641,0.64241695942115,0.350991012698435,0.748327392738083
47,1,0.7,0,1.16490024523227,0,0.595575725594244,1,0,0.560005126544039,0.640871400670978,0.329541404246011,0.730234383007543
48,0,0.7,1,1.6955722843195,1,0.593663100218691,1,NaN,0.530044396698653,0.602223732461727,0.312085727991565,0.716528498175322
49,0,0.7,1,0.541413652324991,1,0.677657722168078,1,NaN,0.508493695645148,0.617999165380872,0.312734932277344,0.717779363537121
50,0,0.7,1,0.542228993421304,1,0.710263517270505,1,NaN,0.511396792805458,0.622971791909288,0.309319920804891,0.67181948913201
51,0,0.7,1,0.437226584530436,1,0.537517161108553,1,NaN,0.542659482989152,0.6560555554134,0.310129276981646,0.690353401328943
52,1,0.7,1,1.00733082502848,1,0.452652862113609,1,0.5,0.537445032550151,0.693518141258069,0.304327069132073,0.723374177853608
53,0,0.7,1,0.565856678673299,1,0.716769039616338,1,NaN,0.55433280290468,0.670805346638053,0.339596337960984,0.683413601122577
