Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,1,0.457589364610612,1,0.484904586803168,1,NaN,0.283912187517234,0.273228624367691,0.325063562723273,0.679965235648002
2,0,0.7,1,0.434922623448074,0,0.382966436678544,1,NaN,0.267504153555381,0.273319435598327,0.325955828763287,0.691977364504526
3,0,0.7,0,0.338735681958497,0,0.306909027276561,0,NaN,0.297689843933112,0.264046473985739,0.298791250399704,0.71047524919509
4,0,0.3,0,0.306095188367181,1,0.563506752136163,1,NaN,0.300126145950293,0.257201518365246,0.297060454151535,0.739593975456078
5,0,0.7,1,0.952483702916652,0,0.335390671272762,0,NaN,0.33599143946415,0.295049559823349,0.254385908725094,0.721994634941554
6,0,0.3,0,0.557439788477495,0,0.444575187284499,0,NaN,0.352018625720295,0.295332178565635,0.260108624081461,0.74311883507327
7,0,0.7,0,0.342477650381625,1,0.374564214376733,0,NaN,0.352551131680094,0.260824971738217,0.252028108245131,0.71363201926724
8,0,0.7,1,0.314939648844302,0,0.291804407024756,0,NaN,0.330357614752165,0.290471143708823,0.25386787549531,0.702557630391964
9,0,0.3,1,0.259615811286494,1,0.303025180473924,0,NaN,0.33533689777072,0.268542269194967,0.259634685016332,0.697491984120231
10,0,0.7,1,0.462046762579121,0,0.25746831507422,1,NaN,0.341430355896002,0.255931405709729,0.269135231219524,0.719660009101351
11,1,0.7,0,1.03479281975888,1,0.678848188603297,0,0.5,0.324311518006237,0.262949436987713,0.270061668729678,0.735982512942606
12,0,0.3,1,0.575481896172278,0,0.421973951742984,0,NaN,0.328853780773564,0.267056845503087,0.291504929779795,0.724598292907936
13,0,0.7,1,0.352638863492757,1,0.320026141824201,1,NaN,0.335805257284384,0.274059425032527,0.275426003959783,0.705052665751818
14,0,0.7,0,0.430552465608343,0,0.379152019741014,1,NaN,0.340019242085376,0.268910596663204,0.254438163441511,0.681481439554303
15,1,0.7,0,0.655754604609683,0,0.27515300991945,1,0,0.317922234213398,0.307457134429072,0.26308510669387,0.748653004055704
16,0,0.3,1,0.331738961860538,1,0.243759537232108,1,NaN,0.304927716395277,0.253357427919855,0.27525433438927,0.748544072974865
17,1,0.7,1,0.637597786728293,1,0.193688522442244,0,0.5,0.271426384191295,0.250592283334313,0.283871716279052,0.740551543625882
18,0,0.3,0,0.381534068146721,1,0.467561003984883,1,NaN,0.300214723369899,0.255751809047307,0.284765896780277,0.729327779147735
19,0,0.7,1,0.428063555504195,0,0.400696109863929,0,NaN,0.306250471630558,0.264847588168644,0.257915184149975,0.706412306005043
20,0,0.7,1,0.38050258171279,1,0.370703309541568,1,NaN,0.298105851412054,0.26013203850564,0.298202458761804,0.716626991283415
21,1,0.7,0,1.11934754031245,1,0.343928734771907,1,1,0.334965090384009,0.25007714777049,0.31971999983082,0.729090644202502
22,0,0.3,1,0.733795595471747,0,0.621719777933322,1,NaN,0.341460419313913,0.271063005843806,0.304434577367096,0.708331644678143
23,0,0.7,1,0.440390678937547,1,0.292262342292815,1,NaN,0.320420373405587,0.269355768660014,0.314459168468905,0.677628779214226
24,0,0.3,0,0.540253781364299,0,0.364345344132744,0,NaN,0.29042090798307,0.284802923294029,0.319455897752822,0.679751038475907
25,0,0.7,0,0.312751400284469,1,0.386341936071403,0,NaN,0.301940362968845,0.324264882010936,0.305482154839293,0.659554071433618
26,0,0.7,1,0.302118667750619,0,0.559429105254821,0,NaN,0.323113369060697,0.333551346055435,0.366904632495526,0.645428418089523
27,0,0.7,1,0.340556556009687,1,0.46076019667089,0,NaN,0.31408715485652,0.333147567603993,0.384564209922479,0.704294043580285
28,0,0.7,0,0.2457425147295,1,0.577963561401702,1,NaN,0.31035540860726,0.339401762803084,0.396410681973403,0.749268976595318
29,1,0.7,1,0.79046154266689,0,0.420499019674025,0,0.5,0.287170108616109,0.339319845614403,0.37514564077426,0.737578890345245
30,0,0.3,0,0.430862485081889,1,0.579012556234375,1,NaN,0.292112093784443,0.343415764770906,0.397231106280995,0.734082372244812
31,1,0.7,0,0.895581995835528,0,0.265651078661904,1,0.5,0.275471535111696,0.322778493798297,0.442633597687647,0.724815929594039
32,0,0.3,1,0.362176415277645,0,1.00952064711601,0,NaN,0.278013680891777,0.32752175337875,0.472550189170393,0.738325852672178
33,1,0.7,1,1.02069402695633,0,0.337274635909125,0,0.5,0.310562033634574,0.299117576221011,0.451253125180744,0.711084537077717
34,0,0.3,0,0.399188576149754,0,0.460723972413689,0,NaN,0.356590371118624,0.28430136750953,0.472131906167038,0.717174124712295
35,1,0.7,1,1.14972854428925,0,0.437240071943961,1,0.5,0.347218946573248,0.268227616094784,0.471896858949337,0.717241932426171
36,0,0.7,0,0.447118433890864,1,0.7551359240897,0,NaN,0.316740857459961,0.250125118080573,0.504819455726619,0.656992166792577
37,0,0.7,1,0.312373762135394,1,0.329717042972334,0,NaN,0.319305938097678,0.286295650119684,0.525753984015804,0.677876278407539
38,1,0.7,1,0.352158891735598,0,0.367522213840857,0,0.5,0.290987264626273,0.315954561783411,0.580271505876304,0.658770943181867
39,0,0.7,0,0.340124279493466,0,0.508114390308037,0,NaN,0.297105850221495,0.319508120920151,0.598776058369697,0.662495784929359
40,0,0.3,0,0.347404152853414,1,0.411441137781367,0,NaN,0.281641910955097,0.346830701143865,0.597195037744674,0.689951105259956
41,0,0.7,0,0.470700441743247,0,0.337297276128083,1,NaN,0.287564172331388,0.338493738250982,0.60354032559352,0.709577181348168
42,1,0.7,1,0.815117902588099,1,0.323959797038697,1,0.5,0.276350303105883,0.352864150343921,0.573779902321084,0.663423908133193
43,0,0.3,1,0.506421810598113,1,0.443950620247051,1,NaN,0.294856859649379,0.373390002792284,0.584572159537768,0.73203292662171
44,1,0.7,1,1.00571106001735,0,0.507125165429898,0,0.5,0.296051085823707,0.389068333464194,0.609615944456695,0.719972423113102
45,0,0.3,0,0.578426628489979,0,0.489015740924515,1,NaN,0.290637745230264,0.383829778947234,0.589465099951404,0.682887635803791
