Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.473893310409039,0,0.684849948389456,1,NaN,0.449308382415532,0.633699974664366,0.746667259956825,0.481168900762085
2,0,0.7,0,1.10787802690174,0,1.16527630831115,1,NaN,0.458412301967002,0.640091206406257,0.749420388508501,0.483324777994855
3,0,0.7,0,0.521791170001961,0,0.714554765727371,0,NaN,0.449331813341898,0.656003836687332,0.7399119748195,0.488763651353045
4,0,0.3,0,1.16102176625282,1,1.40841882524546,1,NaN,0.399563299238439,0.675832091057874,0.742273545534545,0.44375328109128
5,0,0.7,1,0.699395809089765,1,1.06041908485349,0,NaN,0.399048863935517,0.654073171361185,0.734148150533779,0.453925153221596
6,0,0.7,0,0.581509616808034,0,1.13968928623945,0,NaN,0.39832881149567,0.704755677806729,0.716878671728546,0.469094689330283
7,0,0.3,0,1.19345215905923,0,0.919602015987039,1,NaN,0.383168526177056,0.712969680315538,0.702378157535988,0.501778831500763
8,0,0.7,0,0.781944308197126,0,1.1006977702491,1,NaN,0.405705731012143,0.671129406482634,0.738360215356935,0.515047259124546
9,0,0.3,0,0.739246746175922,0,1.33129913860466,1,NaN,0.379618413338529,0.718328971807975,0.737334810593245,0.563019886244132
10,0,0.7,0,0.569152306532487,0,0.519825700786896,1,NaN,0.39907557825624,0.739035588785,0.698442812719004,0.538599307030562
11,0,0.3,0,0.542338186874986,0,0.742541344836354,1,NaN,0.387796693723331,0.739586776108497,0.721386959437288,0.511576212025555
12,0,0.7,0,0.716227723984048,0,0.941025660373271,1,NaN,0.381049640717305,0.729388094982731,0.726601902442478,0.540461448213397
13,0,0.7,0,0.346740946639329,0,0.770909787970595,1,NaN,0.407314652174326,0.723430299869295,0.727688246887058,0.533539899849267
14,0,0.3,0,0.327320806798525,0,0.968366541434079,1,NaN,0.401400711025068,0.700984198005679,0.735727775589569,0.527310235756029
15,1,0.7,1,1.50050849840045,1,1.14204718510155,0,1,0.38508784099319,0.706556726810975,0.71154490160588,0.548432958906062
16,0,0.7,0,0.499912307132035,0,0.365311325062066,1,NaN,0.347863113932996,0.686854041938214,0.732959283563995,0.508441533027516
17,1,0.7,0,1.64174425962847,0,0.293682635994628,1,0.5,0.298478729638059,0.676555803300627,0.737441469416425,0.512878745276277
18,0,0.7,0,1.22149186686147,0,0.371081249555573,1,NaN,0.298148246858169,0.681717707224597,0.74791736438338,0.504928599856552
