Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.73833027202636,0,1.12243143375963,1,NaN,0.448940510663646,0.396882804467292,0.620968485044606,0.735984079869589
2,0,0.7,0,0.720260996371508,0,0.648911837488413,1,NaN,0.426221300716752,0.395880528776733,0.61545381277176,0.748539394758892
3,0,0.7,0,0.658248646184802,0,0.653713065199554,0,NaN,0.369135780300571,0.395876005432856,0.640941993128283,0.705961557258701
4,0,0.3,0,0.494820380583405,1,0.816888364963233,0,NaN,0.372228667632117,0.390006854377366,0.628533681682157,0.688340554428756
5,0,0.7,1,0.251413728110492,1,0.614074944518507,1,NaN,0.384661862595533,0.389566935221908,0.63934374364635,0.707734044598166
6,0,0.3,1,0.385361767373979,1,1.09540178067982,0,NaN,0.346158553841384,0.394010484467423,0.673599223625624,0.741430483536729
7,0,0.7,1,0.335293469950557,1,1.59136714972556,1,NaN,0.320307929767951,0.37152395034066,0.682849927326943,0.719610527744475
8,0,0.7,0,0.411096706055105,1,1.12055863905698,1,NaN,0.355235163773334,0.38482126297611,0.68448997694339,0.693847975574217
9,0,0.7,0,0.631036663427949,1,0.931111074984074,0,NaN,0.392442104537706,0.39014779233068,0.683062140735588,0.725646696391254
10,0,0.7,0,0.392877399921417,1,0.551010883413255,1,NaN,0.375447755565811,0.392193441777893,0.672844468348149,0.749264651553036
11,0,0.7,0,0.700297794304788,1,0.734189534559846,0,NaN,0.374589295429961,0.411229333986161,0.6038977496528,0.742429841522696
12,0,0.3,1,0.347428906708956,1,1.02749272063375,1,NaN,0.337127513175883,0.394477826303568,0.581365235984904,0.699281198748673
13,1,0.7,0,1.24602808337659,0,0.938241522759199,0,1,0.338167812508812,0.387416603401175,0.563804297118461,0.678030281426298
14,0,0.3,1,0.743859305046499,0,1.0881357928738,0,NaN,0.338778357237939,0.417892864256818,0.577786831139252,0.708347381151588
15,1,0.7,1,0.927922129631042,1,0.600693091750145,1,0.5,0.345563184273253,0.429600344776121,0.606578917034944,0.716279531473392
