Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,1,0.438314423663542,1,0.642837025457993,1,NaN,0.469717667042322,0.63828694026858,0.702207155329758,0.597626622650073
2,0,0.7,1,0.836652936646715,0,0.392810083576478,1,NaN,0.469939978028615,0.644592881087705,0.736388331266948,0.640381371779006
3,0,0.7,0,0.756845710217021,1,0.340050623519346,0,NaN,0.432490938042543,0.676244520077482,0.749541593088258,0.634375962100905
4,0,0.7,0,1.08184393669944,0,0.243920433335006,1,NaN,0.431979985571371,0.674107271919542,0.727000105858406,0.652672688610372
5,0,0.7,1,0.885695181670599,1,0.263762586051598,0,NaN,0.422865738853696,0.715519584931562,0.687294596286302,0.603545834305955
6,0,0.3,1,0.856888726586476,0,0.14050312503241,1,NaN,0.420584337421647,0.743138352359638,0.677014849319026,0.530408371761196
7,0,0.7,0,1.41028528136667,1,1.22372509399429,0,NaN,0.438312607101113,0.740908903998509,0.69760231838594,0.486592612404349
8,0,0.3,0,1.1862205847865,0,1.36020400305279,1,NaN,0.431995713433385,0.733995139675149,0.694890540585897,0.500982273696896
9,0,0.7,0,1.07745627057739,0,2.48794561531395,0,NaN,0.45393104040927,0.74413821277016,0.682982983745285,0.50028538429976
10,0,0.7,1,0.831976079964079,1,0.923925987794064,0,NaN,0.491823140539617,0.744963071878558,0.664451358698989,0.460951296686168
11,1,0.7,1,2.88254517840687,0,0.90868884709198,1,0,0.49193191467643,0.724064762239681,0.640383985696907,0.474205618221635
12,0,0.3,0,0.427693464094773,1,0.360366106731817,1,NaN,0.488807801756732,0.728668472336996,0.66250925741332,0.460203789528546
13,0,0.7,1,0.413723569479771,0,0.650944925495423,1,NaN,0.508327927065765,0.737809258436173,0.665854902395564,0.419588527185862
14,0,0.3,0,0.348171202000231,1,0.227765912655741,1,NaN,0.535295594199752,0.742437557724026,0.667886321829078,0.449668813347148
15,0,0.7,1,0.334085691487417,1,0.000405712053179741,1,NaN,0.519364643306627,0.699834767708217,0.692105207782154,0.467157766061649
16,0,0.3,1,0.473437186330557,0,0.22004229191225,0,NaN,0.544377382583819,0.690450506734198,0.72031160868592,0.490700435486983
17,1,0.7,0,0.238808281486854,1,0.354653537389822,0,0.5,0.58658076698722,0.702568282166669,0.723425800730532,0.489638912598378
18,0,0.3,1,0.383861176436767,0,0.0225058449432254,1,NaN,0.568402264647375,0.705216799723338,0.703249688171555,0.517669227413405
19,0,0.7,1,0.281871104962192,1,0.0916338509414345,1,NaN,0.599538813417005,0.735189522106024,0.669800675198989,0.532410326941785
20,0,0.3,0,0.0434398578945547,0,1.21557191351894,0,NaN,0.621048458814552,0.743225016817174,0.683369326136366,0.518158798426207
