Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.557722776196897,0,0.644797682180069,0,NaN,0.554736817969587,0.513492616924762,0.271761244323794,0.535964262078425
2,0,0.3,1,0.582425594329834,1,0.596668126410805,1,NaN,0.574372927419809,0.524129494901099,0.287698346014303,0.524322866770282
3,0,0.7,0,0.776712540187873,1,0.607215461088344,0,NaN,0.555575829137211,0.52662640042537,0.255247444094901,0.543840448410449
4,0,0.3,1,0.914391237078235,0,0.403259269660339,1,NaN,0.585873452003295,0.527000806104314,0.271672447062462,0.547360290100833
5,0,0.7,1,0.782319767400622,0,0.732484969892539,0,NaN,0.621390560655661,0.513824141135223,0.263735332454659,0.542548553592075
6,0,0.7,1,0.578149185399525,1,0.520916390698403,0,NaN,0.600564938905546,0.518836694632301,0.252264003259384,0.558979066967369
7,0,0.7,0,0.439415260916576,1,0.915601555840112,1,NaN,0.598656006889064,0.514798168236907,0.251816716789898,0.526405865791383
8,0,0.3,0,0.514002673095092,0,0.459403385873884,0,NaN,0.623008015615046,0.522211096024387,0.252515021621306,0.510291442446412
9,0,0.7,0,0.492543843691237,0,0.846673068008386,1,NaN,0.604131443468537,0.505482241741059,0.282004788358332,0.505431839142352
10,0,0.7,1,1.22447839216329,0,0.637056811945513,1,NaN,0.587435978918643,0.522328600543956,0.252167711997758,0.571135593193099
11,0,0.3,0,0.502656315104105,1,0.792247117846273,1,NaN,0.575463647707598,0.516765264303661,0.277045799405959,0.583908005837356
12,1,0.7,1,1.38794858579058,1,1.13022938277572,0,1,0.563674935430535,0.510004335123174,0.27488484952696,0.588712185291848
13,0,0.7,0,0.528529918869026,0,0.649409361416474,0,NaN,0.568430944951991,0.536533996782169,0.278337445175128,0.584477302176936
14,0,0.3,0,0.714614902739413,1,0.787145457230508,1,NaN,0.598407221956769,0.484193196536891,0.30772208630371,0.603475264336466
15,0,0.7,0,0.590944580733776,1,0.645011692657135,0,NaN,0.584931135697836,0.504441006836038,0.314497935984181,0.624975150533184
16,0,0.7,1,0.903069967287593,0,0.624199456186034,0,NaN,0.595697356090802,0.524716347284818,0.315459785860638,0.624125304579295
17,1,0.7,1,1.48296734876931,0,0.780609964160249,1,0.5,0.603291159139248,0.517686040855434,0.293108352711978,0.604080504677933
18,0,0.3,0,0.480764903128147,0,0.858736342051998,1,NaN,0.605948996579121,0.512946955788357,0.348432599629768,0.608783036648324
19,0,0.7,0,0.492010908084922,1,0.789778584730811,1,NaN,0.630591487882782,0.500841060215127,0.405768917582027,0.617639779758009
20,1,0.7,0,0.865520056919195,0,1.04446666908916,0,0.5,0.579817622651169,0.547393113158005,0.434977559903354,0.589597149112787
21,0,0.3,0,0.918389394180849,1,0.439327832194977,0,NaN,0.602212981388942,0.563404222055728,0.462393586561965,0.636473515829175
22,1,0.7,1,0.480889964383096,0,0.45915212307591,1,0.5,0.607004206620041,0.56561269539827,0.488354802976286,0.659191518619888
23,0,0.3,1,1.12395465560257,1,0.932671079179272,1,NaN,0.599451589707876,0.578271500059413,0.494498373685371,0.668601912168339
24,1,0.7,1,0.698505195556208,1,0.868082861299627,0,0.5,0.593309902838538,0.600350807312677,0.48813473979251,0.673767477017266
25,0,0.7,0,1.29259113117587,0,0.566783821210265,1,NaN,0.58385947618045,0.602975653746734,0.445217762902918,0.677160629433341
26,0,0.3,0,0.626826121588238,0,0.695590015151538,0,NaN,0.534122720612783,0.625503688934495,0.458896949040124,0.660835039700579
27,0,0.7,1,0.647500752587803,0,0.962845799978822,0,NaN,0.502720443032411,0.67065396455735,0.430757714343232,0.662702061199356
28,0,0.7,0,1.45625290786847,1,0.635730555048212,1,NaN,0.4540840477517,0.680682018437905,0.482100535652573,0.638443985330836
29,0,0.7,0,0.54948242160026,0,0.852687029284425,1,NaN,0.443963504481053,0.717563346384699,0.451511198190245,0.619123101083305
30,0,0.3,0,0.670022032107227,1,0.456662302836776,1,NaN,0.462494774456372,0.743413382372857,0.487727190877518,0.573881144452745
31,1,0.7,0,0.913880728883669,1,0.410695659578778,1,0,0.445460316621894,0.732740245337772,0.461382350851234,0.58138522542614
32,0,0.3,1,0.413833213155158,0,0.8430542757269,0,NaN,0.38616566407248,0.747032360501163,0.484756795863577,0.590452405799244
33,1,0.7,0,1.18074764544144,1,0.370843710727058,1,0,0.40738180324621,0.73746532001939,0.498814142722629,0.640538643081117
34,0,0.7,1,0.71953752450645,1,0.896230374113657,0,NaN,0.399809169209368,0.681820475555265,0.469950071097921,0.651108339206181
35,0,0.7,0,0.544653310556896,0,0.704131048871204,1,NaN,0.401245107372784,0.669378517407818,0.482512616157656,0.688379794285433
36,1,0.7,0,0.655066385050304,0,0.418474542209879,1,1,0.351490362876243,0.681209526478353,0.517501676436508,0.702938310790993
37,0,0.7,0,0.708811530843377,1,0.90250472119078,0,NaN,0.380017739169001,0.737072906699599,0.553690371878772,0.745461941605025
38,0,0.3,1,0.637759663513862,0,0.617622529622167,0,NaN,0.367365704629057,0.742728495447506,0.525969907145534,0.723642390974519
39,0,0.7,1,0.628326855949126,1,0.696913231047802,1,NaN,0.426556593177893,0.749168889004114,0.496537184457386,0.74037356065232
40,1,0.7,1,1.4405735025648,0,0.556867494480684,0,0,0.392858963758488,0.738698258476746,0.520272797170918,0.740615843873266
