Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource
145,1,0.7,0,0,0,0,1,0.5
146,0,0.3,1,0,1,0,0,NaN
147,1,0.7,1,0,0,0,1,0
148,0,0.7,1,0,1,0,1,NaN
149,0,0.7,1,0,1,0,1,NaN
150,0,0.3,1,0,1,0,0,NaN
151,0,0.7,1,0,1,0,1,NaN
152,0,0.7,1,0,1,0,1,NaN
153,0,0.3,1,0,1,0,1,NaN
154,1,0.7,0,0,1,0,1,1
155,0,0.3,0,0,1,0,0,NaN
156,1,0.7,0,0,1,0,1,1
157,0,0.7,0,0,1,0,1,NaN
158,0,0.7,0,0,1,0,0,NaN
159,0,0.3,0,0,1,0,1,NaN
160,0,0.7,0,0,1,0,0,NaN
161,0,0.7,0,0,1,0,1,NaN
162,0,0.7,0,0,1,0,1,NaN
163,0,0.7,0,0,1,0,1,NaN
164,0,0.7,0,0,1,0,0,NaN
165,0,0.7,0,0,1,0,0,NaN
166,0,0.3,0,0,0,0,0,NaN
167,0,0.7,0,0,1,0,0,NaN
168,1,0.7,0,0,0,0,1,0.5
169,0,0.3,0,0,0,0,0,NaN
170,1,0.7,1,0,0,0,1,0
171,0,0.3,1,0,1,0,0,NaN
172,0,0.7,1,0,1,0,1,NaN
173,0,0.7,1,0,1,0,0,NaN
174,0,0.7,1,0,1,0,0,NaN
175,0,0.3,1,0,0,0,1,NaN
176,1,0.7,0,0,0,0,1,0.5
177,0,0.3,0,0,0,0,0,NaN
178,0,0.7,0,0,0,0,0,NaN
179,0,0.3,1,0,1,0,0,NaN
180,1,0.7,1,0,0,0,1,0
181,0,0.3,1,0,1,0,0,NaN
182,0,0.7,1,0,1,0,1,NaN
183,1,0.7,1,0,1,0,1,0.5
184,0,0.7,1,0,1,0,1,NaN
185,0,0.7,1,0,1,0,1,NaN
186,0,0.3,1,0,1,0,1,NaN
187,1,0.7,1,0,1,0,1,0.5
188,0,0.7,1,0,1,0,1,NaN
189,0,0.7,1,0,1,0,1,NaN
190,0,0.3,1,0,1,0,0,NaN
191,1,0.7,1,0,1,0,1,0.5
192,0,0.3,1,0,1,0,0,NaN
193,0,0.7,1,0,1,0,1,NaN
194,0,0.7,1,0,1,0,1,NaN
195,0,0.3,1,0,0,0,1,NaN
196,1,0.7,1,0,0,0,1,0
197,0,0.7,1,0,1,0,1,NaN
198,1,0.7,1,0,1,0,1,0.5
199,0,0.3,1,0,0,0,1,NaN
200,0,0.7,1,0,1,0,0,NaN
