Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,1,1.31995970685966,1,2.35262446431443,1,NaN,0.440633889504375,0.610344887641532,0.464714349429712,0.708575936460704
2,0,0.7,1,2.23587276169565,1,0.975797488121316,1,NaN,0.46992178733296,0.625304634895541,0.457347856885687,0.718033925245327
3,0,0.3,1,0.764404654386453,0,1.11495166807435,0,NaN,0.476751380844029,0.626435546292142,0.476556490991625,0.702443915469056
4,0,0.7,1,0.646124597638845,1,0.761581591330469,1,NaN,0.502234077397103,0.582860953356276,0.492764855570321,0.682341085042282
5,0,0.7,1,0.926592214033008,1,0.487553407903761,0,NaN,0.482844185936591,0.63795905198427,0.475091915210485,0.675602305659597
6,0,0.3,0,0.767183342715725,1,0.97388183826115,1,NaN,0.474981543138822,0.629581206857362,0.482794780819829,0.697467860944679
7,0,0.7,1,0.514396353042684,1,0.603298081317917,0,NaN,0.45615001563597,0.661084810196181,0.486619207486593,0.682272974747194
8,0,0.3,0,0.622244178084657,1,0.499117038096301,1,NaN,0.469127588204762,0.672248824121386,0.508661353198874,0.649464023185259
9,0,0.7,0,0.417998957913369,0,0.983016946236603,1,NaN,0.494053309546025,0.697221659708155,0.5113457977187,0.661098547495014
10,0,0.7,1,0.86675064614974,1,0.461433736840263,1,NaN,0.475816971547838,0.711034841156456,0.497197183153568,0.636875739633879
11,1,0.7,0,1.25449072872289,0,0.505998103064485,1,0,0.508590082220401,0.710040535690082,0.477701635444809,0.616445017005202
12,0,0.3,1,1.13721890875604,0,1.03327452961821,0,NaN,0.492474101398507,0.72576487755718,0.426635774703221,0.617933978899222
13,1,0.7,0,1.46698507631663,1,0.445761692710221,0,0.5,0.469866453229375,0.726181951420891,0.406481878555809,0.641496650831528
14,0,0.7,1,2.21546532551292,1,1.07630480627995,1,NaN,0.434478543521906,0.742220733806246,0.403927295532112,0.670735562177796
15,0,0.3,1,1.40468208235689,1,1.298060442321,1,NaN,0.451064336610814,0.744596738234005,0.398933585223811,0.69620443578229
16,0,0.7,0,1.33717942447402,0,0.801255103899166,0,NaN,0.460110352800627,0.743187504424712,0.406073798843735,0.681164434414166
17,1,0.7,1,1.22822102974169,0,1.15324987308122,0,1,0.457387086835502,0.737577268118183,0.382593040619585,0.677760840318245
18,0,0.7,1,0.622034682077356,1,0.810891915229149,1,NaN,0.440649083383717,0.749403239639041,0.411159560878242,0.673978850583037
19,0,0.3,1,0.47807900107,1,1.27276064280886,1,NaN,0.423835561078982,0.725433630407873,0.414297897001129,0.630127440852022
20,0,0.7,0,0.977296259137802,1,0.904042727546766,1,NaN,0.433219222928449,0.702262911688008,0.392453646597805,0.628792571604438
21,0,0.7,0,1.30318584700581,1,0.920496607897803,0,NaN,0.427881210042538,0.706320885575215,0.413331350797333,0.602389960065846
22,0,0.3,1,0.431002495228313,0,1.26699256256688,0,NaN,0.436319274197449,0.67925356639675,0.417971367471464,0.590931631411362
23,0,0.7,0,0.659563125576824,0,1.52708745759446,0,NaN,0.412380387211897,0.659090324606715,0.401839983297885,0.59761686697962
24,0,0.3,1,0.74144251504913,0,0.965612787520513,1,NaN,0.406786861223152,0.65945104652173,0.364472259066781,0.61044218795762
25,1,0.7,1,1.46593729499727,0,2.10073824669234,0,0,0.367785896036655,0.684374452677407,0.333742365689341,0.629446452341595
26,0,0.3,0,0.787717865081504,1,0.977652764529921,0,NaN,0.357969002286574,0.667026583499447,0.294933547469264,0.641064400904018
27,0,0.7,1,0.718295029364526,1,0.671050987206399,1,NaN,0.327714767460639,0.689119523223047,0.285574756157333,0.625941535337871
28,1,0.7,1,0.943427654798143,1,0.391501047182828,1,0.5,0.302566796870184,0.690942759516557,0.287607652556921,0.567118019690916
29,0,0.7,0,1.00322726310696,0,0.752908642287366,0,NaN,0.30010542662598,0.699774221657533,0.30281927803302,0.543436142789315
30,0,0.7,0,1.56582035147585,1,0.564636428025551,1,NaN,0.329082924435522,0.703251997763184,0.309719020603729,0.556420136078132
31,1,0.7,1,1.34500201349147,0,0.745077902916819,1,0.5,0.298077484797709,0.723604595142639,0.269366313235337,0.533092486776154
32,0,0.7,1,1.14301627001259,1,0.75086832116358,1,NaN,0.334294848443471,0.747853345228943,0.25600026458714,0.549344109542998
33,0,0.3,0,0.700179973384365,0,1.38957302074414,0,NaN,0.330684531560143,0.743784899557965,0.251992541473137,0.547774215859382
34,0,0.7,1,1.71330637054052,1,0.746701647061855,0,NaN,0.392220220677356,0.733991910039075,0.253520392397585,0.56134491679907
35,0,0.3,0,0.968368232250214,1,0.615149994846433,1,NaN,0.378827860470702,0.748714388761986,0.258217651528984,0.575760693166619
36,1,0.7,1,0.377746162121184,0,0.840402159723453,1,0.5,0.403059048506444,0.745211361750027,0.275989655269672,0.58914670302035
37,0,0.3,0,0.810189470066689,1,0.823668146389537,1,NaN,0.380644659117696,0.698759253383991,0.292023424907895,0.577958940159113
38,0,0.7,1,0.378122288850136,1,0.576857223408297,0,NaN,0.393769594343438,0.670109873569656,0.275112770082235,0.561931385001494
39,1,0.7,0,1.957340718247,0,0.876911499188282,1,0,0.375527234965343,0.672267406627903,0.268610689169341,0.610328448755733
40,0,0.7,1,0.853146996698342,1,1.28058443916962,0,NaN,0.397581809424814,0.6505336723387,0.303846069717142,0.546361499640781
41,0,0.7,1,0.960924486629665,1,0.40862416732125,0,NaN,0.406984636473892,0.647377878667498,0.298737051764892,0.581808057631219
42,0,0.7,0,0.395672249374911,1,1.26565921469592,1,NaN,0.417568210003363,0.633326714044738,0.27927835323648,0.577394242930198
43,0,0.3,1,0.618049732060172,0,2.08689732954372,0,NaN,0.396025919273958,0.62598649863405,0.299740508243112,0.577652316346143
44,1,0.7,0,1.41469471855089,0,0.411525111994706,1,0,0.354323526852844,0.614944316158192,0.307236436149333,0.508457808024679
45,0,0.3,1,1.23040413390845,1,1.29132668860257,1,NaN,0.365746718113831,0.583941899708234,0.302598302692185,0.506296461542652
46,1,0.7,1,1.28285961295478,1,0.461139718070626,1,0.5,0.337893920563946,0.535487955164559,0.283052180562852,0.459416307278561
47,0,0.7,0,0.798275371780619,1,1.56370335619431,0,NaN,0.304334639684943,0.578399238679846,0.328401884001804,0.428527454179178
48,0,0.7,1,0.376739736646414,1,0.959346928168088,1,NaN,0.284244740545495,0.57601753794087,0.349728492736104,0.472416247118603
49,0,0.7,0,0.62067265692167,1,0.977373839123175,0,NaN,0.286983087972714,0.553435111730758,0.356937685732153,0.464042966991466
50,0,0.3,1,1.21381803555414,0,1.32322983513586,0,NaN,0.255829219921695,0.557343675604799,0.357365538685118,0.500296061580231
51,1,0.7,1,1.20968517055735,1,0.463188189547509,1,0,0.258070865967798,0.516345756940329,0.399486665794383,0.485808347168606
52,0,0.7,0,1.10421998403035,1,1.43351674790028,0,NaN,0.26863846806819,0.525791152145321,0.448877693056289,0.483279414349772
53,0,0.3,1,1.907360852696,1,1.01335038279649,1,NaN,0.268764794666752,0.52526198554032,0.46111307824917,0.484486269753094
54,1,0.7,1,1.31181019556243,1,0.553406663006172,1,0,0.257692016677012,0.552006904664559,0.487642200340673,0.48159811485733
55,0,0.3,0,0.998477079556324,0,0.915886188740842,1,NaN,0.290516936968404,0.563117757145155,0.499371324991994,0.419368387065195
56,1,0.7,0,1.47413027496077,0,1.03708922653459,0,0.5,0.295033409001498,0.59092564950835,0.482308783452197,0.439984175164211
57,0,0.7,1,0.510902239126153,0,0.784177867462859,0,NaN,0.291159496662616,0.615994023063745,0.463431450396837,0.422998041991566
58,0,0.3,0,0.324008350842632,1,0.524862091988325,1,NaN,0.277255852306325,0.628444836216589,0.497678731762295,0.393287536957458
59,1,0.7,1,0.803112493245862,1,0.912707828101702,0,1,0.25171556655578,0.603568514816822,0.498886036106547,0.392361106518915
60,0,0.7,0,0.439761778339744,1,1.55586929630954,0,NaN,0.294575160574315,0.563855413977686,0.478558861010895,0.389813624456754
61,1,0.7,1,1.07289159286302,1,0.451512566534802,1,0,0.346565510739438,0.556645630682535,0.503449383218931,0.413826857390891
62,0,0.7,0,1.0847229793435,1,0.998924145009369,1,NaN,0.42225615622069,0.529600502844921,0.473458362085943,0.450635047031712
63,0,0.3,1,0.72218006150797,0,1.4107562560821,0,NaN,0.456419455509061,0.536578196991974,0.444492740161616,0.440407947436515
64,0,0.7,1,1.28591903799679,1,0.751957760308869,1,NaN,0.418245080568472,0.549099702295905,0.425371689401486,0.421611804087364
65,0,0.7,0,0.685103211435489,1,1.27922664012294,0,NaN,0.396619715530425,0.588212186634585,0.438121627405628,0.416552280011465
66,1,0.7,1,0.527612404781394,1,0.384484745794907,1,0,0.400899622455744,0.587936041512858,0.488013261191363,0.446355679072954
67,0,0.3,1,0.580245985649526,0,1.10705934767611,0,NaN,0.41043144744535,0.608501662828667,0.488541658021627,0.422416084692916
68,0,0.7,0,0.482003577752039,1,0.804015982081182,0,NaN,0.412034421384684,0.585574785649688,0.486668345461893,0.399139800548448
69,1,0.7,0,1.4391242347192,1,0.611221795785241,1,1,0.422565111799528,0.583120221005431,0.498963908911831,0.427435521535053
70,0,0.3,1,0.478374831029214,1,1.85716575593688,0,NaN,0.384395255759325,0.580808059660136,0.474395702084732,0.402343063924773
71,0,0.7,1,1.25031288550235,1,0.557754155714065,1,NaN,0.358509167720418,0.560865632810064,0.460617514991627,0.430696967783679
72,0,0.3,1,1.06677244091406,1,0.429613603744656,0,NaN,0.336318833633852,0.513132992337093,0.458548127105458,0.402971924216958
73,1,0.7,1,0.776136122760363,1,0.430894124787301,1,0,0.301535421911287,0.530004415004826,0.482628066739029,0.401017017270442
