Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.553380239347462,1,1.54487334290752,0,NaN,0.503797290370179,0.298643394465566,0.477921156320135,0.261196183176104
2,0,0.7,0,2.19810071712709,0,1.02742969230167,0,NaN,0.52604553072952,0.277618310097548,0.495957294966633,0.251184263348278
3,0,0.7,0,0.63808002116275,0,1.7461077348853,1,NaN,0.555644403112596,0.294623245131536,0.487132571582439,0.280192149949682
4,0,0.7,0,0.76802172473981,0,0.790698530880036,0,NaN,0.599991226470818,0.31670329549491,0.477262337185408,0.276313640959654
5,0,0.7,0,0.490402762225131,0,1.39591586863389,1,NaN,0.571769147472486,0.332279106088843,0.493003352994853,0.269562990156282
6,0,0.7,0,0.807836390828015,1,0.58914053812623,1,NaN,0.601848900836965,0.32668116867211,0.489951157551268,0.27788202009528
7,0,0.3,0,0.66503155711689,0,2.62779543359648,0,NaN,0.589390874011506,0.277138167765378,0.460754841544772,0.274684344528481
8,0,0.7,0,0.822287036309717,0,2.41103605370154,1,NaN,0.575717969308536,0.260954144324029,0.443970756338042,0.279830061746691
9,0,0.3,0,0.638118660048349,1,2.23429238292738,1,NaN,0.612717115626875,0.257236875774133,0.406936424861117,0.26109728982716
10,0,0.7,1,0.484116394829471,1,2.70998519647401,0,NaN,0.60145474122094,0.250664886035933,0.403858496715645,0.25036489760668
11,0,0.3,1,0.261382777418476,0,1.38463934816536,1,NaN,0.592946161400931,0.268222503664647,0.399824227971503,0.257230129803676
12,0,0.7,1,0.428638184152078,0,1.74547592859017,0,NaN,0.584927121230525,0.25357223588834,0.397559349890498,0.285800921278879
13,0,0.7,1,0.847188899555476,0,1.76293376687681,0,NaN,0.576024926351491,0.284373649530586,0.377383533582358,0.273110109592966
14,0,0.3,1,0.632335202069953,1,0.412424035312142,0,NaN,0.615181723629602,0.266681924775767,0.408650212506235,0.278333077697296
15,1,0.7,1,0.479606812994462,1,2.98627987119835,0,0.5,0.545912255878211,0.269408555513845,0.420293392462869,0.279597347379806
16,0,0.3,1,1.15831231334596,1,2.4535234447394,1,NaN,0.523630276305604,0.26612816997773,0.420736000752523,0.279877023053755
17,1,0.7,0,2.60679187279311,0,1.70016729435883,0,0.5,0.470177717472213,0.26816847989368,0.392996564837778,0.27675098610833
18,0,0.3,0,2.23540204376332,0,1.98345228881226,0,NaN,0.468650095588521,0.274491591459513,0.378362937499588,0.306667542762139
19,0,0.7,0,0.523103041487047,0,2.91592327039689,1,NaN,0.454957637875387,0.293484717456433,0.423090570123703,0.292349203119312
20,1,0.7,1,2.03444295388181,1,1.68656247851322,0,0.5,0.459881843447579,0.300564493557278,0.400693696048306,0.292683392802754
21,0,0.7,1,0.78225683758501,1,2.22043249002309,0,NaN,0.469648694847436,0.316761264121411,0.44704471947561,0.331084966384523
22,0,0.3,1,0.910830180859193,1,1.68838726077229,0,NaN,0.429810776980293,0.339634336043741,0.426995615154614,0.286833434606221
23,0,0.7,1,0.696133755787741,0,2.01029364354326,0,NaN,0.420746724226287,0.332119280121332,0.436985360513367,0.290874480251327
24,1,0.7,1,1.46943753841333,1,0.728212190326303,0,0.5,0.436011370361191,0.325174488802374,0.450712197778297,0.321247729038042
25,0,0.3,1,0.601212174631655,1,1.36662818875629,1,NaN,0.40921599274166,0.335160834356194,0.444230035408284,0.318317859507055
26,1,0.7,0,1.80305180870346,0,1.59250906502712,0,0,0.428231379571354,0.332833295354434,0.4141325478959,0.381854871086213
27,0,0.3,0,0.836348575976444,0,1.14443491215934,0,NaN,0.429055385695977,0.321684997470428,0.398778443195009,0.381690216391121
28,1,0.7,1,1.71034290813259,1,1.29567570376093,0,1,0.396341196480169,0.33951949045619,0.39442619246241,0.389897139702673
29,0,0.7,1,0.871448692982085,1,0.890299946535379,0,NaN,0.351249279996921,0.359235123370341,0.374755056275001,0.419255863090932
30,1,0.7,0,1.40218019974418,1,2.01563698030077,0,0.5,0.363659624415985,0.3668975907742,0.373627131870154,0.406373141102846
31,0,0.3,0,0.561835516622523,1,1.49727414658992,0,NaN,0.389801393315606,0.367061236277736,0.378223563441708,0.370372287538338
32,0,0.7,0,1.12124221638078,0,1.13797980151139,1,NaN,0.362910084230468,0.328789090707715,0.351256048542906,0.368706291061751
33,1,0.7,0,1.43978490208974,1,1.69988927541999,0,0.5,0.38440374705692,0.354941111721716,0.328777172438349,0.421047286881555
34,0,0.7,0,0.63508037495194,1,1.35910326364683,1,NaN,0.365204852556421,0.3487085687184,0.273208526529326,0.368417181650534
35,1,0.7,0,1.90028870498645,1,0.86976156180026,1,1,0.380019295379851,0.313755703271969,0.252776457224646,0.358499328209882
36,0,0.3,1,0.862222147086868,0,1.42579430100159,0,NaN,0.364724248695807,0.311624398986085,0.288613663794315,0.345353264090623
37,0,0.7,1,0.76419436087599,0,0.978790566296084,0,NaN,0.365709511716768,0.27145545045544,0.282656941320683,0.349373962557788
38,0,0.7,1,0.592053548694821,1,0.589470176200848,1,NaN,0.353247866144703,0.253303300088005,0.324102685720838,0.379268085604936
39,0,0.3,1,0.30543142138049,1,0.634778508538147,0,NaN,0.331897830662526,0.266056203177869,0.320460809017303,0.385267423637997
40,0,0.7,1,0.900618644955102,1,0.550122497370467,1,NaN,0.38368795641867,0.299793268591996,0.292007496676968,0.366750241797376
41,1,0.7,1,0.379178283474175,0,0.98586208812776,0,0.5,0.376878773344047,0.319247064603439,0.323405112230076,0.344597614337978
42,0,0.7,1,0.357858970441157,0,1.17333167509059,1,NaN,0.346927791164099,0.304816591407735,0.325821193223782,0.344308953031987
43,0,0.7,1,0.593692079390166,1,0.559698302677134,0,NaN,0.34131737152458,0.342379598090982,0.330460556242002,0.316404508000773
44,0,0.3,1,0.476886091346387,0,0.639806998689892,1,NaN,0.363005181322089,0.356920293055257,0.325862315363754,0.28213705735374
45,0,0.7,1,0.393539274635259,1,0.615876239637146,1,NaN,0.386988101476855,0.339289723782871,0.312904179264877,0.300390010139833
