Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.612894598394632,1,0.650193422101438,0,NaN,0.456116518871419,0.482748627433245,0.57265233648184,0.559936478844947
2,0,0.7,0,0.275307037867606,0,0.357959734275937,0,NaN,0.462490743407867,0.496754656284923,0.51993834921809,0.581663538437976
3,0,0.3,0,0.939081204123795,0,0.795049966312945,0,NaN,0.459622191778288,0.473664280188421,0.551896238159555,0.535396596898899
4,0,0.7,0,0.335088697262108,0,1.10314773023129,1,NaN,0.490527773334604,0.489687139941712,0.563886455960295,0.510899376687477
5,0,0.3,0,0.302106285467744,1,1.06355772726238,1,NaN,0.485027110204633,0.506025135607708,0.570949473844418,0.497051148210354
6,0,0.7,0,0.257194649428129,0,0.732103824615479,0,NaN,0.480333346029941,0.5350636626977,0.539952247077932,0.506673621414639
7,0,0.7,1,0.000264737755060196,0,0.895372814498842,1,NaN,0.518395495870906,0.562954986171712,0.542226536757213,0.525903335257331
8,0,0.7,1,0.302848276682198,0,0.424507464282215,0,NaN,0.529602428635379,0.564057174611743,0.52539700897585,0.560578032751326
9,0,0.7,0,0.250830363482237,1,0.382234457880259,1,NaN,0.530981465863704,0.527289390404018,0.53909759388235,0.596875973195167
10,0,0.3,1,0.234064307063818,1,0.51806001458317,1,NaN,0.567531696901935,0.533083255570599,0.549216889625335,0.62370250648559
11,0,0.7,0,0.316498752683401,0,0.205298389308155,1,NaN,0.558234418715463,0.507181204779676,0.550716148266153,0.598930489211917
12,0,0.7,1,0.376510736532509,0,0.0232175821438432,0,NaN,0.587400099168907,0.527691539769954,0.565489879791591,0.609388396836924
13,0,0.3,0,0.473927500657737,1,0.484445189125836,0,NaN,0.556132830235071,0.519661748353423,0.526393417475178,0.600681166683465
14,0,0.7,0,0.316124737262726,0,0.316942498087883,1,NaN,0.584419023672124,0.501133608016136,0.477116625688344,0.626295408397732
15,0,0.7,1,0.259393154643476,0,0.303402204997838,0,NaN,0.592774467740504,0.492387924507021,0.449423491152745,0.627981891785329
16,0,0.3,1,0.309771621599793,1,0.511254398152232,0,NaN,0.638688484100345,0.531893114369967,0.403685220190671,0.606762205442452
17,1,0.7,0,0.894411667250097,1,0.616503734141588,0,0,0.674773411629425,0.557861763113228,0.411870125302832,0.626626233578644
18,0,0.7,0,0.498906180262566,1,0.404271131381392,1,NaN,0.684736240370069,0.543231163798962,0.433949367520428,0.659507000728014
19,0,0.7,0,0.279533190652728,1,0.410141258500516,0,NaN,0.705132889737061,0.539267988306619,0.438288075261786,0.715485260133032
20,0,0.3,0,0.869282655417919,1,0.928072677925229,1,NaN,0.677298531734974,0.534247475259472,0.465927146837223,0.703209886813146
