Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.426672844914719,0,0.407356246141717,0,NaN,0.369816465453734,0.308855456804593,0.259433855960868,0.386298944550297
2,0,0.3,0,0.442053373437375,1,0.294069934170693,1,NaN,0.36539107166247,0.258470905276853,0.253613216559996,0.386997369253796
3,0,0.7,0,0.414012458175421,1,1.30644867708907,1,NaN,0.376397831247357,0.290126888608653,0.260712308131749,0.384177162821757
4,0,0.3,0,1.10633547627367,1,0.363071155035868,0,NaN,0.344034988232987,0.266587559242561,0.255509561031573,0.420092294808988
5,0,0.7,0,0.35213685547933,0,0.903055971255526,1,NaN,0.366339544042444,0.258041935818949,0.306131047962483,0.41538180408377
6,0,0.3,0,0.470318577485159,0,0.68112156400457,0,NaN,0.391737094738069,0.27391143779191,0.282039343117498,0.383390010311817
7,0,0.7,0,0.536807644413784,1,0.376684542279691,0,NaN,0.346604358213675,0.268696805723843,0.258778835872943,0.396193931882603
8,0,0.7,1,0.597488449653611,0,0.26673146779649,0,NaN,0.367322928695306,0.294371733032314,0.251546941188917,0.430510411131027
9,0,0.7,1,0.340952004306018,1,0.217558513628319,0,NaN,0.367425327554558,0.288608370756193,0.281547170681407,0.438951719529483
10,0,0.7,1,0.427944317227229,0,0.376629904145375,0,NaN,0.38322191649289,0.262426198467793,0.278175831474503,0.409089950280817
11,1,0.7,1,0.437198715982959,1,0.305351685034111,1,0.5,0.382793576325759,0.300151126221941,0.264670712488136,0.360978529596129
12,0,0.3,1,0.584563323762268,0,0.230498732766137,1,NaN,0.412434918927737,0.325610812293144,0.25154660021026,0.377597509358159
13,0,0.7,1,0.27310090418905,0,0.188010668149218,0,NaN,0.405059005704379,0.359196072244302,0.279293897589345,0.391380983339916
14,0,0.3,1,0.359738219063729,0,0.599221479846165,0,NaN,0.355692826272629,0.370387662936943,0.310411537479989,0.379643850811887
15,0,0.7,1,0.234361147042364,1,0.182243762305006,1,NaN,0.365975977108911,0.405320283126679,0.333828752032889,0.424520444226063
16,1,0.7,1,0.370236318325624,0,0.337078420910984,0,1,0.378023762284134,0.407174778128828,0.324049780383544,0.393878901931037
17,0,0.7,0,0.358767106663436,1,0.48625786555931,1,NaN,0.386919820659755,0.385564236697779,0.321497930945258,0.399557013240866
18,0,0.7,0,0.750235382467508,0,0.485662580002099,0,NaN,0.406456704890875,0.393891984313819,0.279499303020655,0.433036247351387
19,1,0.7,1,0.38935096655041,0,0.339388624532148,0,0.5,0.431212902604915,0.410658763498367,0.25312489102746,0.45642240643447
20,0,0.3,0,0.289169090567157,1,0.22730254358612,1,NaN,0.44993191583466,0.4383928603559,0.255453821207021,0.446759698589688
21,0,0.7,1,0.365802466170862,0,0.276752613950521,0,NaN,0.458473167062836,0.456897554202372,0.273837995056041,0.463888461377751
22,0,0.7,0,0.261580375023186,1,0.512685592984781,0,NaN,0.47505953541,0.422716389578324,0.291104401390952,0.448995893311406
23,1,0.7,0,0.471829432062805,1,0.370435249758884,1,0,0.413850532367258,0.435745951209798,0.292675968305791,0.443785170646847
24,0,0.7,0,0.40483231912367,0,0.626388182397932,1,NaN,0.388484337605586,0.382312226795968,0.301840165902953,0.467784212117701
25,0,0.3,0,0.628484059125185,0,0.856783072231337,1,NaN,0.396263144363265,0.341267367240647,0.286358323979785,0.444623638731688
26,0,0.7,0,0.577367671765387,0,0.792152009205893,0,NaN,0.401365179399243,0.320315336339265,0.342608332717186,0.449219347475523
27,0,0.3,1,0.54802690865472,1,0.611399479908869,1,NaN,0.393057717716251,0.314783114661668,0.321522927002018,0.443575222202326
28,0,0.7,1,0.19850393710658,1,0.779913333477452,1,NaN,0.366008822949791,0.33323227883743,0.281102908478691,0.456085670997521
29,0,0.3,1,0.368525626603514,1,0.631178844021633,1,NaN,0.387420795469798,0.30531532242721,0.28697816044748,0.45436816301054
30,1,0.7,1,0.464951346162707,0,0.163863259367645,0,0,0.40674536521143,0.305616178199616,0.342034814923546,0.478209793365089
31,0,0.3,0,0.384976884350181,1,0.67914764280431,0,NaN,0.357516033183265,0.27822914159176,0.363274565364934,0.449727915517757
32,1,0.7,0,0.303505755960941,0,0.601154649164528,1,0,0.408739049097964,0.296797091873749,0.348006875687939,0.425907487830752
33,0,0.7,1,0.380143659422174,0,0.49089517747052,0,NaN,0.389882916947409,0.279468298319261,0.39851652838445,0.389470177681031
34,0,0.3,1,0.226813214132562,1,0.0478912184480578,1,NaN,0.410509749649969,0.31716569037622,0.419071504564931,0.368162589034146
