Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,1.07613770652097,1,0.614691965281963,1,NaN,0.432826160331385,0.603874815724105,0.358324229488654,0.395473471324313
2,0,0.7,1,0.801156460191123,1,0.806472373660654,1,NaN,0.419672065169224,0.607443629968584,0.3470047410871,0.383527147296777
3,0,0.3,1,1.06556957401335,0,1.06041968846694,0,NaN,0.383380022848388,0.662137997695649,0.340173799387562,0.39619651610174
4,0,0.7,1,0.621676610782743,1,0.474493426037952,0,NaN,0.358956872618718,0.657087544237593,0.376308033706879,0.393837155861894
5,0,0.7,1,0.450684714363888,0,1.15028005908243,1,NaN,0.340957577013798,0.628402026685146,0.335648733690807,0.382763615717317
6,0,0.3,0,0.859418992651626,0,1.83090957661625,0,NaN,0.364754067906631,0.598053291024451,0.349873868375139,0.387543028544268
7,0,0.7,0,0.649192575830966,0,1.75680556159932,0,NaN,0.346396023603882,0.567730252535029,0.367473065648462,0.393677963101967
8,0,0.3,1,0.777727499837056,1,0.552669956116006,1,NaN,0.356776950278983,0.614773882373704,0.378325204480889,0.419192282017183
9,0,0.7,0,0.981887254863977,1,0.499913514475338,0,NaN,0.357032577851487,0.623460420471189,0.417940029458407,0.428496828485019
10,0,0.7,1,0.266953643411398,0,0.92582021583803,1,NaN,0.356797179147047,0.638576337821961,0.456619650594599,0.412287469191072
11,0,0.7,1,0.316097920294851,1,1.88506367173977,0,NaN,0.32814411169274,0.672120923263707,0.433396705984172,0.371412155981358
12,1,0.7,0,2.78861712291837,1,0.954895938164555,0,0.5,0.346602184243702,0.655656244366035,0.414590976254218,0.368429605502664
13,0,0.3,1,0.359933830332011,0,1.071423418005,0,NaN,0.338355949203485,0.634301926852833,0.439443060130342,0.357893472147994
14,1,0.7,1,0.927670371136628,1,0.608495801687241,1,0,0.33882207240645,0.680117392531768,0.406934631788442,0.317697581328027
