Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.527430384419858,1,0.455853919498622,0,NaN,0.37677406956488,0.625927078112133,0.274704474506832,0.380067603037957
2,0,0.7,1,0.289229162037373,1,0.450924096629024,0,NaN,0.406671163539196,0.56810911225805,0.293751528321797,0.387483317197454
3,0,0.3,1,0.332540725357831,0,0.332332134246826,1,NaN,0.42229476831799,0.562207832705754,0.322032270285387,0.385099172363971
4,0,0.7,1,0.40211851708591,0,0.759636791422963,0,NaN,0.43365204425133,0.546758414097823,0.31031047267921,0.356952247249504
5,0,0.7,0,0.388666025362909,0,0.659007847309113,1,NaN,0.405513622002986,0.54612275652561,0.323653749967466,0.400319305491845
6,0,0.3,0,0.44412268511951,1,1.21621851716191,0,NaN,0.43346562334918,0.555306349116099,0.395466183168477,0.365247298354531
7,0,0.7,0,0.0505307614803314,0,0.765840501524508,1,NaN,0.439319513519728,0.545944056708217,0.389966007617753,0.324379053969126
8,0,0.7,0,0.258183442987502,0,0.485354673117399,0,NaN,0.443169190315393,0.504392227430119,0.379137566605994,0.307786751087534
9,0,0.7,1,0.256202578544617,1,0.432528802193701,0,NaN,0.429861041637415,0.549288194278589,0.362728337452777,0.311774597043785
10,0,0.3,1,0.330423718318343,0,0.434590869583189,0,NaN,0.439768401491677,0.582553660854044,0.360216989299073,0.340351236533581
11,1,0.7,0,0.404298011213541,0,0.313701683655381,0,1,0.415397243466317,0.605908975740281,0.371900118370952,0.379206660531306
12,0,0.7,1,0.408873138017952,0,0.69451851118356,1,NaN,0.436433599688855,0.577298712119755,0.387810857064152,0.388835668244401
13,1,0.7,1,0.989956213161349,0,0.332289268262684,0,0.5,0.446394734786586,0.590365029265159,0.37639283472852,0.383321034959748
14,0,0.7,0,0.23405746743083,0,1.11009827349335,1,NaN,0.470361110000666,0.611658222862043,0.389504382098741,0.40459464719306
15,0,0.7,1,0.485335656441748,0,0.248085924424231,1,NaN,0.490414521737895,0.627986469496803,0.381462476734858,0.404177918481899
16,0,0.7,1,0.25595776271075,0,0.355398549698293,0,NaN,0.483785930037762,0.650396351652939,0.391329793928551,0.411540841320682
17,0,0.7,1,0.00033899862319231,1,0.229927898384631,0,NaN,0.458446798862009,0.672417910787581,0.410927821913735,0.429107532380443
18,1,0.7,1,0.240381925366819,0,0.180646573193371,1,0.5,0.457321427700431,0.676587191494613,0.410006353850916,0.447989404457462
19,0,0.7,1,0.12775700725615,1,0.232469937764108,0,NaN,0.429366408862215,0.675885498229441,0.445818471636035,0.461908128827958
20,0,0.3,0,0.458403807133436,1,0.000216742046177387,0,NaN,0.431065590188997,0.677932935665521,0.428981310793738,0.445963066478129
21,1,0.7,1,0.344898941926658,0,0.401108160614967,0,0,0.436890964650002,0.665362686689803,0.41998755578925,0.47497982812946
22,0,0.3,1,0.000331150367856026,0,0.761616146191955,0,NaN,0.458250265926735,0.651021793663127,0.392470762247205,0.443272817274693
23,1,0.7,1,0.230751698836684,1,0.331384264864028,0,0,0.437090168347741,0.646517850233416,0.413305287329184,0.45378613974155
24,0,0.3,1,0.257281458005309,1,0.484910624101758,0,NaN,0.456521549923811,0.699407170660906,0.419159889114071,0.472351226802372
25,0,0.7,1,0.300570381805301,0,0.270107571035624,1,NaN,0.476801764173995,0.663251852962214,0.455625021622165,0.477477816051217
26,0,0.3,1,0.143041541799903,0,0.518630903214216,0,NaN,0.486130280217989,0.626988551074513,0.443278616878302,0.495469445038705
27,0,0.7,1,0.261075649410486,0,0.424627078697085,1,NaN,0.480051197176341,0.603484627970964,0.403811101350901,0.504277573805415
28,1,0.7,1,0.000271379947662354,1,0.320617200806737,0,0.5,0.421885879777014,0.600779338201005,0.406792924155419,0.503448569151071
29,0,0.3,1,0.37508493848145,0,0.437660273164511,0,NaN,0.397029048300746,0.628414363081818,0.420907675899563,0.444877268126448
30,1,0.7,0,0.239718114957213,1,0.619658918119967,0,1,0.374519755099813,0.600491698229073,0.405697956709866,0.415344080264516
31,0,0.7,1,0.000175083987414837,1,0.739671777933836,0,NaN,0.402279677538448,0.669939845952104,0.371506762981729,0.347407812807232
32,1,0.7,0,0.000184743665158749,0,0.254939256235957,0,0,0.414138888181712,0.666458172466212,0.399710405624451,0.369953231387853
33,0,0.3,1,0.272077266126871,0,0.482898666523397,0,NaN,0.4093021596887,0.66627954723566,0.389488983828393,0.378907193193776
34,0,0.7,0,0.586645917966962,1,0.240809673443437,1,NaN,0.421710443070428,0.704408769858053,0.312141331407086,0.3511653056824
35,0,0.3,1,0.234582114964724,1,0.454644028097391,1,NaN,0.412223362482955,0.711340449356251,0.280547941888814,0.331801665208058
36,0,0.7,0,0.063888163305819,0,0.203312408179045,0,NaN,0.408649497164665,0.690132397649207,0.285752017555318,0.33504338704546
37,1,0.7,1,0.358491801656783,0,0.125890551134944,0,1,0.426538702152962,0.672856403964684,0.260129972499522,0.294479602758682
38,0,0.3,1,0.268389633856714,1,0.23925987817347,1,NaN,0.427693310620895,0.716377204965369,0.278335170427339,0.268930139098924
39,1,0.7,0,0.249044358730316,1,0.316529895178974,0,0,0.391964771295157,0.694531697694809,0.292577850456487,0.269823599921242
40,0,0.3,1,0.187008462846279,1,0.304303897544742,1,NaN,0.382482173024511,0.686132229027753,0.275338941515091,0.275751464648528
41,0,0.7,1,0.263372571207583,0,0.978915655985475,0,NaN,0.395469811605092,0.664404589825642,0.288180558682231,0.268680393025085
42,0,0.7,1,0.000116823241114616,1,0.44494950491935,0,NaN,0.396210885571652,0.668472692357474,0.329056830901214,0.254832422457729
43,0,0.7,0,0.262742872349918,1,0.578107855282724,1,NaN,0.410500174558757,0.649282445851425,0.336628401197803,0.291137781887353
44,0,0.3,1,0.718599206767976,1,0.567292190156877,1,NaN,0.330233520280439,0.64685649521853,0.291135735683085,0.32026157760028
45,0,0.7,0,0.707782032899559,1,0.445330463349819,1,NaN,0.332709206536316,0.659040411104471,0.292838834068559,0.339034891479654
46,1,0.7,0,1.61510069668293,1,0.427944015711546,1,0,0.322654467513542,0.701611680470141,0.292791690907243,0.321879349310141
47,0,0.3,0,0.390327512286603,0,0.212543865665793,0,NaN,0.336326845520624,0.689774994419448,0.272019941776623,0.337823751942952
48,0,0.7,0,0.51155147049576,1,1.28897921554744,1,NaN,0.389084187910001,0.700882646665532,0.310893008175858,0.372528817201763
49,0,0.3,1,0.256877557374537,1,0.45218198467046,1,NaN,0.405506117471436,0.690565188965172,0.287013357878287,0.405184295670438
50,0,0.7,1,0.453295881859958,0,0.47290167119354,0,NaN,0.375568189004334,0.688523542422247,0.313831611905206,0.401508465522896
51,0,0.7,1,0.42540680617094,0,1.19023755565286,0,NaN,0.344512510835317,0.681563383522684,0.35437316159077,0.403139594673104
52,1,0.7,1,0.201996259391308,0,0.583243854343891,1,0.5,0.359016245852718,0.660690763242842,0.359658468016222,0.389632468323714
53,0,0.3,1,0.547098963521421,1,0.515428375452757,1,NaN,0.379432447936168,0.671296921536995,0.393835376952461,0.397310148941826
54,1,0.7,1,0.745718818157911,0,0.353838188573718,1,0.5,0.354420792503133,0.673549533734881,0.411210353100584,0.408723724196639
55,0,0.3,1,0.230998627841473,1,0.52323833014816,1,NaN,0.331260196363277,0.679956475279079,0.377687814954303,0.365495706913319
56,0,0.7,1,0.497572218999267,1,1.11492395214736,0,NaN,0.296839362141243,0.690236606124514,0.37713741302409,0.354504126734325
57,0,0.3,1,0.0257174288854003,1,0.398194218985736,1,NaN,0.300015070576564,0.715700333333067,0.37796455722762,0.33034638614749
58,1,0.7,1,0.257556159049273,1,0.452742555178702,0,0,0.273536933948558,0.681380733342871,0.352937427382061,0.349401325823734
59,0,0.7,1,0.000341112725436687,1,1.22805449925363,0,NaN,0.270539089832898,0.673499236250675,0.388118828007203,0.332477567573511
60,0,0.3,1,0.621943462640047,1,0.362798265181482,1,NaN,0.285350510531068,0.697887036013793,0.376553127946888,0.345551173568636
61,0,0.7,1,0.263971781358123,1,1.02741121686995,0,NaN,0.285724518132098,0.688449331839352,0.388181359072859,0.355017391069637
62,0,0.7,1,0.277878585271537,0,0.864591820165515,0,NaN,0.319097484229859,0.688241034459817,0.426404443089119,0.31224871002176
63,0,0.3,0,0.689074303023517,0,0.771085173822939,1,NaN,0.324112004389086,0.665992944164854,0.433635927112376,0.322545887158043
64,0,0.7,1,0.463577539660037,0,0.875074221752584,0,NaN,0.345616542438506,0.648801387539066,0.401797720675495,0.322960886535228
