Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.706673287786543,0,0.620296224951744,1,NaN,0.569898305238649,0.414778515491132,0.32950531916352,0.645851175780577
2,0,0.3,0,0.349959624814801,1,0.948296925285831,1,NaN,0.576883207900906,0.395491269730124,0.296499232997726,0.684831421252729
3,0,0.7,0,0.609311479958706,0,0.414802493993193,1,NaN,0.578041521800738,0.380025328805868,0.280664679139331,0.709151149399821
4,0,0.7,0,0.705473656649701,0,0.627206027740613,1,NaN,0.564713369457942,0.447095606878803,0.260402608669068,0.678586407637267
5,0,0.7,0,0.588269032537937,0,0.697937775519677,1,NaN,0.562911248213312,0.451108067026618,0.252247440832162,0.655448932792516
6,0,0.7,0,0.529209991218522,0,0.577933609718457,0,NaN,0.612761950535618,0.463753070333458,0.258179348485383,0.657726254005799
7,0,0.7,0,0.694392313132994,0,0.552555102505721,0,NaN,0.62146642592165,0.418272959017709,0.278847937677286,0.618086944166982
8,0,0.3,0,0.597845252486877,1,0.675195800373331,0,NaN,0.638388088895948,0.402919191643002,0.27232028352661,0.609660064175841
9,0,0.7,0,0.979589064372703,0,0.842426309827715,1,NaN,0.658170397937726,0.410909307492016,0.277381699596826,0.573316080253244
10,0,0.7,0,0.604170031263493,0,1.08174879290164,1,NaN,0.603090039184947,0.367480914105873,0.279947771678791,0.6103637085691
11,1,0.7,0,0.577514010481536,1,0.904171993373893,0,1,0.639431342032783,0.374853543417991,0.264226716508425,0.653243064965707
12,0,0.7,0,0.791530435322784,0,0.725525366840884,1,NaN,0.617741845521974,0.423471390725389,0.322771242683972,0.680506981989754
13,0,0.3,0,0.611909674480557,1,0.737402439466678,1,NaN,0.606399682242712,0.381793659976394,0.324539014986097,0.661962437408585
14,1,0.7,0,1.29529007442761,0,0.473426238866523,1,1,0.593149131454763,0.370038890011073,0.297097942291955,0.662595585406827
