Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,1,0.0343903340399265,0,0.630695736850612,1,NaN,0.320517507012173,0.499282247379788,0.535044036200854,0.675470538882293
2,0,0.7,0,0.37565502198413,0,0.950646531884558,0,NaN,0.331945200750599,0.515562985154398,0.552154489761511,0.698447665794065
3,0,0.7,0,0.411853562458418,0,0.353282770025544,1,NaN,0.314832733152756,0.483666477965559,0.580890238675457,0.724821088893604
4,0,0.3,0,0.343328880728222,1,0.460248590563424,1,NaN,0.346456722513303,0.466294908461624,0.586446458190177,0.727244076416815
5,0,0.7,1,0.365875915973447,1,1.00358290504664,1,NaN,0.314064131888582,0.463322363264713,0.590542397304999,0.72035768773072
6,0,0.7,1,0.510746149229817,0,0.656277479720302,1,NaN,0.357228791041091,0.445376071302792,0.636769536587403,0.718958173888476
7,0,0.7,0,0.37725312623661,1,1.20799323811661,0,NaN,0.34225544135587,0.470369026831648,0.651723417764153,0.730835417772128
8,0,0.3,0,0.291159259504639,1,0.355436014709994,0,NaN,0.350261797526867,0.463091552761049,0.652550654198007,0.679875344376836
9,0,0.7,0,0.344418332679197,1,1.00788456457667,0,NaN,0.326826377649988,0.495715796350044,0.630615368884018,0.705467449699461
10,0,0.3,1,0.386907257721759,1,1.65715049020946,0,NaN,0.32599165210494,0.49089111972299,0.637562327802398,0.707948496507739
11,1,0.7,1,0.025585365248844,0,1.26231851894408,0,1,0.329778685994141,0.501738486134667,0.619471594694377,0.666417007714724
12,0,0.3,1,0.431352607789449,1,1.37986310163978,0,NaN,0.337274045921241,0.501303019062013,0.638664845371647,0.696438746145532
13,1,0.7,0,0.199900080799125,0,0.221233293297701,0,0.5,0.330825961646361,0.496838181194166,0.648196357252452,0.695249066979312
14,0,0.7,0,0.303739123162813,0,1.25730716111138,0,NaN,0.303365811534164,0.481593167390141,0.615105909960284,0.717735018570176
15,0,0.7,1,0.202146603609435,1,1.27968031878117,0,NaN,0.338494236627122,0.489484424818926,0.620477196909233,0.7343020779129
16,0,0.3,1,0.000218252534978092,0,1.54143132059835,0,NaN,0.336682796732379,0.477017588337498,0.630245776333137,0.707828577315852
17,0,0.7,1,0.0197586541762576,0,1.06418800516985,1,NaN,0.292006449990908,0.464302112231294,0.615004169956616,0.749827146411364
18,0,0.7,1,0.000137351220473647,1,1.00681171554606,0,NaN,0.284504990212098,0.471721972089768,0.586300887576718,0.696704033916881
19,1,0.7,0,0.329796916455962,0,1.2504154498456,0,0.5,0.273531208124199,0.488752006790877,0.585322370215796,0.696049474307624
20,0,0.3,1,0.227695442503318,0,1.83232070761733,1,NaN,0.278575302667246,0.542626872955884,0.577789085296518,0.722270181607539
21,0,0.7,1,1.20236636558548,1,1.18378953565843,1,NaN,0.282424462118094,0.535071858448602,0.55891907007265,0.736909464410665
22,0,0.7,0,0.251384153263643,0,1.22273510089144,1,NaN,0.286626695862378,0.591528221461637,0.549987830012154,0.732641530971878
23,0,0.3,0,0.273161115939729,0,1.71598451409955,1,NaN,0.277243259009978,0.608660940430976,0.54754370295982,0.715250834856127
24,0,0.7,1,0.21043809002731,0,2.08778343792073,0,NaN,0.298345535994084,0.596690208656744,0.55602008310582,0.710800231097642
25,0,0.3,0,0.271617952268571,0,1.25040277116932,1,NaN,0.310963488543941,0.589048291041143,0.552995283681453,0.704370768838214
26,0,0.7,1,0.000267155701294541,1,0.904818009585142,1,NaN,0.300561995193351,0.584988425465502,0.531085995828319,0.721360318021358
27,0,0.7,0,0.312128113931976,1,2.03344547830056,1,NaN,0.291456681024864,0.600265830555316,0.567909591492873,0.740545355881664
28,1,0.7,0,0.347171696601436,0,2.9231297968654,0,0.5,0.256788017906906,0.626150390186998,0.573555325809361,0.725910392334144
