Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource,p1,p2,p3,p4
1,0,0.7,0,0.538831071928144,1,0.722804242745042,0,NaN,0.349214775079606,0.283992272678946,0.704551978347947,0.263910757613003
2,0,0.3,0,0.409034034237266,1,1.08652532100677,0,NaN,0.324883972781069,0.262492734424559,0.717009594904593,0.258813838395473
3,0,0.7,0,0.342451688833535,0,0.42254448402673,0,NaN,0.281449964494188,0.252210553790124,0.740685405718599,0.273709479314255
4,0,0.7,1,0.441118182614446,0,0.429255032911897,0,NaN,0.324322365285402,0.292513391263043,0.7337967841201,0.252182090137021
5,0,0.3,1,0.488150886259973,1,0.481745225377381,0,NaN,0.375646134639941,0.314090018549969,0.712813547567487,0.263364273082958
6,0,0.7,0,0.857597514986992,0,1.06897495873272,0,NaN,0.326149522804239,0.289198311315475,0.713621231003112,0.258009418090619
7,0,0.3,0,0.389314440079033,1,0.531590442173183,0,NaN,0.320524711578377,0.311716152468806,0.703256420739853,0.277970715482717
8,0,0.7,1,1.12932551838458,0,1.35387441329658,1,NaN,0.345796248020014,0.347656551611364,0.67765811827889,0.296404824666648
9,0,0.3,1,1.11128884460777,0,1.77672770991921,0,NaN,0.349448908881482,0.370967734149737,0.675566629774669,0.306409748181187
10,0,0.7,1,0.565171560272574,1,1.16413645073771,1,NaN,0.350005956636607,0.40003249216339,0.63790132510807,0.345507169104636
11,0,0.7,1,0.784993185661733,1,0.831202691420913,1,NaN,0.344966454290523,0.386765534643059,0.595215836697293,0.328287166958653
12,0,0.7,1,0.665032850578427,1,0.955740265548229,0,NaN,0.360438146198559,0.368682595282839,0.597309387157155,0.312637927020844
13,0,0.7,0,1.15295009035617,1,0.904344649985433,0,NaN,0.332576772404166,0.366943495050304,0.622136505839839,0.329811657661755
14,1,0.7,0,1.15148240327835,1,0.398827238939703,1,0.5,0.305701888398912,0.34651243211851,0.622945413417736,0.324659429958324
15,0,0.7,0,0.834105765447021,1,1.31815183721483,0,NaN,0.309812053412399,0.303379131791875,0.600533902297056,0.311969514909672
16,0,0.3,0,1.07666326127946,0,0.495545167475939,1,NaN,0.346046907984662,0.322314349167545,0.597214783689446,0.357330187565132
17,0,0.7,0,0.863204128108919,0,1.22661458421499,1,NaN,0.344225285396205,0.348507192025296,0.585922257306899,0.362406422535771
18,0,0.3,0,0.549159521237016,1,1.46054496429861,1,NaN,0.352629953004488,0.37311787051182,0.576410767914285,0.384157321700661
19,0,0.7,0,0.653743855655193,1,1.24089178163558,0,NaN,0.338673641952312,0.36475418755645,0.549824374674164,0.340267782406423
20,0,0.3,0,0.466940662823617,0,0.565689264796674,1,NaN,0.310292287209884,0.353015356610244,0.540305650336264,0.309017071811055
